bowler,phase,balls,runs,wickets,dots,boundaries,economy,strike_rate,dot_pct,boundary_pct
I Sharma,Death,466,790,22,114,113,10.17,21.2,24.5,24.2
I Sharma,Middle,432,611,17,127,74,8.49,25.4,29.4,17.1
I Sharma,Powerplay,1521,1785,57,758,301,7.04,26.7,49.8,19.8
IC Pandey,Powerplay,264,295,11,151,53,6.7,24.0,57.2,20.1
IK Pathan,Death,489,730,28,116,89,8.96,17.5,23.7,18.2
IK Pathan,Middle,636,805,24,212,102,7.59,26.5,33.3,16.0
IK Pathan,Powerplay,918,1032,28,507,184,6.75,32.8,55.2,20.0
Imran Tahir,Death,321,474,25,88,51,8.86,12.8,27.4,15.9
Imran Tahir,Middle,941,1101,54,335,115,7.02,17.4,35.6,12.2
Iqbal Abdulla,Middle,525,631,20,161,67,7.21,26.2,30.7,12.8
Iqbal Abdulla,Powerplay,276,285,14,131,37,6.2,19.7,47.5,13.4
J Botha,Middle,396,398,13,142,35,6.03,30.5,35.9,8.8
J Suchith,Middle,336,458,15,105,54,8.18,22.4,31.2,16.1
J Yadav,Middle,210,214,4,80,16,6.11,52.5,38.1,7.6
JA Morkel,Death,325,487,31,84,55,8.99,10.5,25.8,16.9
JA Morkel,Middle,498,550,20,176,61,6.63,24.9,35.3,12.2
JA Morkel,Powerplay,900,1210,34,386,203,8.07,26.5,42.9,22.6
JC Archer,Death,558,886,32,157,121,9.53,17.4,28.1,21.7
JC Archer,Middle,270,305,15,115,38,6.78,18.0,42.6,14.1
JC Archer,Powerplay,750,860,37,405,145,6.88,20.3,54.0,19.3
JD Ryder,Middle,204,235,7,70,25,6.91,29.1,34.3,12.3
JD Unadkat,Death,665,1178,56,180,161,10.63,11.9,27.1,24.2
JD Unadkat,Middle,834,1152,30,226,135,8.29,27.8,27.1,16.2
JD Unadkat,Powerplay,852,1100,28,351,157,7.75,30.4,41.2,18.4
JH Kallis,Death,360,582,24,89,82,9.7,15.0,24.7,22.8
JH Kallis,Middle,866,1021,23,281,119,7.07,37.7,32.4,13.7
JH Kallis,Powerplay,516,607,18,231,91,7.06,28.7,44.8,17.6
JJ Bumrah,Death,1423,1865,102,444,215,7.86,14.0,31.2,15.1
JJ Bumrah,Middle,942,995,45,371,109,6.34,20.9,39.4,11.6
JJ Bumrah,Powerplay,1266,1373,40,637,207,6.51,31.6,50.3,16.4
JO Holder,Death,334,509,33,88,64,9.14,10.1,26.3,19.2
JO Holder,Middle,531,666,28,174,78,7.53,19.0,32.8,14.7
JO Holder,Powerplay,360,502,9,151,79,8.37,40.0,41.9,21.9
JP Behrendorff,Powerplay,240,323,11,103,52,8.08,21.8,42.9,21.7
JP Duminy,Middle,462,523,17,151,48,6.79,27.2,32.7,10.4
JP Faulkner,Death,467,748,32,115,91,9.61,14.6,24.6,19.5
JP Faulkner,Middle,400,527,13,128,63,7.9,30.8,32.0,15.8
JP Faulkner,Powerplay,360,445,14,154,70,7.42,25.7,42.8,19.4
JR Hazlewood,Death,329,538,27,100,78,9.81,12.2,30.4,23.7
JR Hazlewood,Middle,205,265,14,73,35,7.76,14.6,35.6,17.1
JR Hazlewood,Powerplay,642,847,31,321,140,7.92,20.7,50.0,21.8
JR Hopes,Middle,234,307,7,77,41,7.87,33.4,32.9,17.5
K Gowtham,Middle,294,366,11,94,37,7.47,26.7,32.0,12.6
K Gowtham,Powerplay,270,381,9,106,62,8.47,30.0,39.3,23.0
K Kartikeya,Middle,252,334,11,76,38,7.95,22.9,30.2,15.1
K Rabada,Death,684,1061,69,229,146,9.31,9.9,33.5,21.3
K Rabada,Middle,526,647,28,201,77,7.38,18.8,38.2,14.6
K Rabada,Powerplay,1080,1524,51,472,249,8.47,21.2,43.7,23.1
KA Pollard,Death,337,578,26,88,77,10.29,13.0,26.1,22.8
KA Pollard,Middle,1115,1442,41,305,160,7.76,27.2,27.4,14.3
KH Pandya,Death,217,301,18,76,35,8.32,12.1,35.0,16.1
KH Pandya,Middle,1926,2283,70,553,213,7.11,27.5,28.7,11.1
KH Pandya,Powerplay,558,717,17,216,105,7.71,32.8,38.7,18.8
KK Ahmed,Death,415,708,37,128,99,10.24,11.2,30.8,23.9
KK Ahmed,Middle,264,360,16,87,45,8.18,16.5,33.0,17.0
KK Ahmed,Powerplay,978,1306,38,468,222,8.01,25.7,47.9,22.7
KK Cooper,Death,264,368,17,72,42,8.36,15.5,27.3,15.9
KK Cooper,Middle,216,257,12,69,26,7.14,18.0,31.9,12.0
KV Sharma,Middle,1308,1793,66,410,203,8.22,19.8,31.3,15.5
Kartik Tyagi,Death,242,409,16,72,57,10.14,15.1,29.8,23.6
Kartik Tyagi,Middle,270,369,8,96,53,8.2,33.8,35.6,19.6
Kartik Tyagi,Powerplay,216,368,9,87,64,10.22,24.0,40.3,29.6
Kuldeep Yadav,Death,370,521,29,116,57,8.45,12.8,31.4,15.4
Kuldeep Yadav,Middle,1856,2499,82,549,271,8.08,22.6,29.6,14.6
L Balaji,Death,502,822,33,110,105,9.82,15.2,21.9,20.9
